current_density,cell_voltage,power_density,pressure,relative_humidity
3320,0.235,779,5,30
3110,0.285,886,5,30
2890,0.334,966,5,30
2630,0.385,1010,5,30
2360,0.435,1030,5,30
2060,0.484,1000,5,30
1760,0.534,939,5,30
1440,0.585,842,5,30
1130,0.635,714,5,30
815,0.684,558,5,30
526,0.734,386,5,30
289,0.785,227,5,30
138,0.835,115,5,30
70.5,0.884,62.3,5,30
46.8,0.933,43.7,5,30
35.7,0.982,35,5,30
3920,0.244,957,5,50
3720,0.295,1100,5,50
3510,0.344,1210,5,50
3280,0.394,1290,5,50
3010,0.444,1340,5,50
2710,0.494,1340,5,50
2380,0.544,1300,5,50
2020,0.594,1200,5,50
1630,0.644,1050,5,50
1220,0.695,849,5,50
829,0.744,617,5,50
480,0.794,381,5,50
223,0.844,188,5,50
85.2,0.895,76.3,5,50
52,0.945,49.2,5,50
35.5,0.99,35.1,5,50
3700,0.237,878,5,100
3470,0.288,999,5,100
3230,0.337,1090,5,100
2970,0.387,1150,5,100
2680,0.437,1170,5,100
2370,0.487,1160,5,100
2050,0.537,1100,5,100
1720,0.587,1010,5,100
1380,0.637,878,5,100
1030,0.688,710,5,100
702,0.737,518,5,100
413,0.787,325,5,100
197,0.837,165,5,100
81.1,0.887,72,5,100
59.2,0.93,55.1,5,100
41.1,0.97,39.8,5,100
3730,0.263,979,15,30
3460,0.313,1080,15,30
3020,0.413,1250,15,30
2650,0.463,1230,15,30
2280,0.513,1170,15,30
1910,0.563,1070,15,30
1540,0.613,943,15,30
1180,0.663,779,15,30
819,0.713,584,15,30
507,0.763,387,15,30
267,0.813,217,15,30
121,0.863,104,15,30
63.6,0.913,58,15,30
37.5,0.965,36.2,15,30
36.5,0.977,35.6,15,30
36.1,0.996,36,15,50
81.3,0.95,77.3,15,50
80.2,0.896,71.8,15,50
213,0.846,180,15,50
495,0.795,393,15,50
876,0.746,653,15,50
1300,0.696,904,15,50
1730,0.646,1120,15,50
2150,0.595,1280,15,50
2540,0.545,1390,15,50
2910,0.496,1440,15,50
3260,0.446,1450,15,50
3580,0.395,1420,15,50
3870,0.345,1330,15,50
4110,0.295,1210,15,50
35.6,0.994,35.4,15,100
70.6,0.951,67.1,15,100
81.3,0.9,73.2,15,100
227,0.843,191,15,100
525,0.793,416,15,100
901,0.743,669,15,100
1300,0.692,900,15,100
1690,0.643,1090,15,100
2070,0.593,1230,15,100
2420,0.543,1320,15,100
2760,0.492,1360,15,100
3060,0.443,1350,15,100
3320,0.393,1300,15,100
3550,0.343,1220,15,100
3750,0.292,1100,15,100
3920,0.243,950,15,100
36.1,1.02,36.9,25,30
48.2,0.965,46.5,25,30
71.8,0.919,66,25,30
97.7,0.873,85.3,25,30
170,0.824,140,25,30
345,0.77,266,25,30
641,0.721,462,25,30
1060,0.671,714,25,30
1490,0.621,923,25,30
1930,0.57,1100,25,30
2350,0.52,1220,25,30
2730,0.47,1280,25,30
3070,0.42,1290,25,30
3380,0.369,1250,25,30
3640,0.319,1160,25,30
3870,0.27,1040,25,30
35.6,0.988,35.2,25,50
63,0.939,59.2,25,50
114,0.887,102,25,50
294,0.838,246,25,50
626,0.788,493,25,50
1040,0.737,764,25,50
1460,0.687,1000,25,50
1880,0.637,1200,25,50
2280,0.587,1340,25,50
2670,0.537,1430,25,50
3040,0.487,1480,25,50
3390,0.437,1480,25,50
3700,0.387,1430,25,50
3980,0.336,1340,25,50
4220,0.287,1210,25,50
35.8,1,35.9,25,100
71.4,0.957,68.4,25,100
105,0.906,94.7,25,100
270,0.852,230,25,100
604,0.801,484,25,100
1020,0.751,766,25,100
1460,0.701,1020,25,100
1910,0.651,1250,25,100
2360,0.601,1420,25,100
2760,0.551,1520,25,100
3140,0.501,1570,25,100
3480,0.451,1570,25,100
3780,0.4,1510,25,100
4030,0.351,1410,25,100
4230,0.301,1270,25,100
4390,0.251,1100,25,100
1230,0.26,320,5,30
1190,0.31,368,5,30
1140,0.359,409,5,30
1080,0.409,442,5,30
1010,0.46,462,5,30
908,0.509,463,5,30
785,0.559,439,5,30
637,0.609,388,5,30
460,0.659,303,5,30
285,0.709,202,5,30
166,0.758,126,5,30
93.4,0.804,75,5,30
57.7,0.859,49.6,5,30
40.9,0.905,37,5,30
36.6,0.948,34.7,5,30
